,city,description,image,link,price,bedrooms,rooms,size,type,zone
0,Ablon-sur-Seine (94480),"Appartement refait à neuf avec balcon et sans vis à vis.

Je vous invite à découvrir un environnement calme et verdoyant !!",https://v.seloger.com/s/crop/341x256/visuels/1/y/j/4/1yj4hhxxq60gzmoity8jtvbg5zw1bxvsh3pxh17vk.jpg,https://www.seloger.com/annonces/achat/appartement/ablon-sur-seine-94/173822891.htm,185 000 €,3,4,75,Appartement,
1,Ablon-sur-Seine (94480),,https://v.seloger.com/s/crop/341x256/visuels/0/2/2/j/022jq9277pqkq9h8s9s1dthw3frry5f4ljnqhoka0.jpg,https://www.selogerneuf.com/annonces/neuf/programme/ablon-sur-seine-94/172582003/#?cmp=INTSL_ListToDetail,279 000 €,2,3,58,Appartement neuf,
2,Ablon-sur-Seine (94480),,https://v.seloger.com/s/crop/341x256/visuels/0/y/4/h/0y4hqjg81b0j3hagmbd1n033ndo5cj34gtm54ufwg.jpg,https://www.seloger.com/annonces/achat/appartement/ablon-sur-seine-94/172325739.htm,279 000 €,2,3,66,Appartement,
3,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/appartement/ablon-sur-seine-94/172855401.htm,155 000 €,2,3,58,Appartement,
4,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/appartement/ablon-sur-seine-94/172231885.htm,280 000 €,2,4,77,Appartement,
5,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/appartement/ablon-sur-seine-94/172602177.htm,248 000 €,2,3,57,Appartement,
6,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/appartement/ablon-sur-seine-94/172358909.htm,167 500 €,2,4,68,Appartement,
7,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/appartement/ablon-sur-seine-94/172806193.htm,248 000 €,2,3,57,Appartement,
8,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/appartement/ablon-sur-seine-94/173394217.htm,204 000 €,3,5,78,Appartement,
9,Athis-Mons,"Votre agence LAFORÊT d'ATHIS-MONS vous propose: Un appartement vendu loué, 2 pièces dans un bâtiment récent et sécurisé, à pr",,https://www.seloger.com/152596153/detail.htm,169 000 €,1,2,"40,15",Appartement,
